,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
166,84,4404,84,0.0764749220758676,0.0,0.0,,,,,
167,84,4068,84,0.0582871718145907,0.0,0.0,,,,,
168,85,4493,85,0.0504792267863046,0.0,0.0,,,,,
169,85,4149,85,0.0491713561564683,0.0,0.0,,,,,
170,86,4198,86,0.0453368823478619,0.0,0.0,,,,,
171,86,4518,86,0.0785890885690847,0.0,0.0,,,,,
172,87,4543,87,0.0727555741369724,1.0,1.0,,,,,
173,87,4223,87,0.0547918060918649,1.0,1.0,,,,,
174,88,4584,88,0.0701868592053651,0.0,0.0,,,,,
175,88,4280,88,0.0839588569743292,0.0,0.0,,,,,
176,89,4633,89,0.0398625836769739,1.0,1.0,0.1015605059514443,0.0,0.0,,
177,89,4337,89,0.067513949163258,0.0,0.0,0.0548619135438154,0.0,0.0,,
178,90,4690,90,0.0636387256586125,0.0,0.0,,,,,
179,90,4378,90,0.0743410376682877,0.0,0.0,,,,,
180,91,4419,91,0.0759174310788512,0.0,0.0,,,,,
181,91,4731,91,0.0555206771343946,0.0,0.0,,,,,
182,92,4780,92,0.0535322870438297,0.0,0.0,,,,,
183,92,4452,92,0.0824793416634201,0.0,0.0,,,,,
184,93,4837,93,0.0479020059321607,0.0,0.0,,,,,
185,93,4517,93,0.0469077756255865,0.0,0.0,,,,,
186,94,4910,94,0.037544996175501,1.0,1.0,,,,,
187,94,4558,94,0.0441855652928352,1.0,1.0,,,,,
188,95,4959,95,0.0467294253781437,0.0,0.0,,,,,
189,95,4615,95,0.0454605327972344,0.0,0.0,,,,,
190,96,5000,96,0.0588713016621768,0.0,0.0,,,,,
191,96,4656,96,0.0490936036929488,0.0,0.0,,,,,
192,97,4705,97,0.04256253232869,0.0,0.0,0.0705231648590415,0.0,0.0,,
193,97,5041,97,0.0356488609015941,1.0,1.0,0.0744285863451659,0.0,0.0,,
194,98,4770,98,0.0397050185751868,0.0,0.0,,,,,
195,98,5082,98,0.0524952656477689,0.0,0.0,,,,,
196,99,4811,99,0.0604246317744255,1.0,1.0,,,,,
197,99,5147,99,0.0250259765237569,1.0,1.0,,,,,
198,100,5220,100,0.0423959863134142,0.0,0.0,,,,,
199,100,4916,100,0.0345050139180742,1.0,1.0,,,,,
200,101,5301,101,0.0533777425829321,0.0,0.0,,,,,
201,101,4957,101,0.0685548330601304,0.0,0.0,,,,,
202,102,5038,102,0.0382020001895725,1.0,1.0,,,,,
203,102,5430,102,0.0353369982779258,0.0,0.0,,,,,
204,103,5071,103,0.0533833732828497,1.0,1.0,,,,,
205,103,5471,103,0.1168325094282627,0.0,0.0,,,,,
206,104,5104,104,0.0415441839862614,1.0,1.0,,,,,
207,104,5520,104,0.0303266401682049,1.0,1.0,,,,,
208,105,5137,105,0.0443642469402402,1.0,1.0,0.0335275691449642,1.0,1.0,,
209,105,5569,105,0.046910883684953,0.0,0.0,0.1412516084810098,0.0,0.0,,
210,106,5610,106,0.0507099391557276,0.0,0.0,,,,,
211,106,5194,106,0.0752582807945353,0.0,0.0,,,,,
212,107,5259,107,0.0322973495721817,1.0,1.0,,,,,
213,107,5659,107,0.0636292816574374,0.0,0.0,,,,,
214,108,5316,108,0.0543428632962916,0.0,0.0,,,,,
215,108,5692,108,0.0469093756843358,1.0,1.0,,,,,
216,109,5349,109,0.0316721886675804,1.0,1.0,,,,,
217,109,5741,109,0.0589804658914605,0.0,0.0,,,,,
218,110,5374,110,0.073525468558073,1.0,1.0,,,,,
219,110,5798,110,0.0388975597279412,1.0,1.0,,,,,
220,111,5831,111,0.0733360072784125,0.0,0.0,,,,,
221,111,5431,111,0.0835644909633057,0.0,0.0,,,,,
222,112,5856,112,0.043248906408747,1.0,1.0,,,,,
223,112,5520,112,0.0603433431075377,0.0,0.0,,,,,
224,113,5905,113,0.0448689327389001,1.0,1.0,0.0312852651412997,1.0,1.0,,
225,113,5561,113,0.035705330222845,1.0,1.0,0.0990654438827186,0.0,0.0,,
226,114,5618,114,0.0626316850898521,0.0,0.0,,,,,
227,114,5938,114,0.0626547330990433,0.0,0.0,,,,,
228,115,5971,115,0.0927306555211544,0.0,0.0,,,,,
229,115,5651,115,0.0840447496529668,0.0,0.0,,,,,
