,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
119,120,993792,7680,0.0095734543706006,0.90625,0.90625,,,,,
120,121,999488,7744,0.0112691732109268,0.828125,0.828125,0.009044638819524,0.953125,0.953125,,
121,122,1005184,7808,0.009998615720268,0.859375,0.859375,,,,,
122,123,1012928,7872,0.0084431704945236,0.8125,0.8125,,,,,
123,124,1018112,7936,0.0122302963536239,0.8125,0.8125,,,,,
124,125,1026368,8000,0.0073777100667997,0.796875,0.796875,,,,,
125,126,1032576,8064,0.0123650378861977,0.8125,0.8125,,,,,
126,127,1044928,8128,0.0057789255096626,0.828125,0.828125,,,,,
127,128,1056768,8192,0.0064555625464166,0.796875,0.796875,,,,,
128,129,1062976,8256,0.0088772990842024,0.921875,0.921875,0.0027625871263762,0.921875,0.921875,,
129,130,1068672,8320,0.0079054597496267,0.96875,0.96875,,,,,
130,131,1081024,8384,0.0053843786392088,0.828125,0.828125,,,,,
131,132,1087744,8448,0.0103333846656418,0.859375,0.859375,,,,,
132,133,1102144,8512,0.0039783751686703,0.859375,0.859375,,,,,
133,134,1108352,8576,0.0097074284632642,0.90625,0.90625,,,,,
134,135,1119168,8640,0.0060426423812217,0.828125,0.828125,,,,,
135,136,1125888,8704,0.0098708617918161,0.8125,0.8125,,,,,
136,137,1133120,8768,0.0082136514941808,0.84375,0.84375,0.0092465149471134,0.8125,0.8125,,
137,138,1138304,8832,0.0123180205364075,0.796875,0.796875,,,,,
138,139,1151680,8896,0.0049714416510669,0.859375,0.859375,,,,,
139,140,1158400,8960,0.0080890177261825,0.875,0.875,,,,,
140,141,1166144,9024,0.0073753810997897,0.90625,0.90625,,,,,
141,142,1176448,9088,0.0063632203419175,0.859375,0.859375,,,,,
142,143,1182656,9152,0.0085497445666714,0.9375,0.9375,,,,,
143,144,1192960,9216,0.0066378884746877,0.875,0.875,,,,,
144,145,1205312,9280,0.005789654433733,0.8125,0.8125,0.0106588926796143,0.78125,0.78125,,
145,146,1210496,9344,0.0126612462688058,0.828125,0.828125,,,,,
146,147,1215680,9408,0.0127695452640541,0.75,0.75,,,,,
147,148,1221376,9472,0.0095755631292797,0.90625,0.90625,,,,,
148,149,1232192,9536,0.0070342453059206,0.796875,0.796875,,,,,
149,150,1242496,9600,0.0051547433373883,0.890625,0.890625,,,,,
150,151,1250752,9664,0.0075151068550934,0.859375,0.859375,,,,,
151,152,1256448,9728,0.0101113641719393,0.890625,0.890625,,,,,
152,153,1261632,9792,0.0104243642842022,0.875,0.875,0.0088873851044172,0.84375,0.84375,,
153,154,1266816,9856,0.0089763388762494,0.9375,0.9375,,,,,
154,155,1280192,9920,0.0041822069334534,0.921875,0.921875,,,,,
155,156,1288960,9984,0.006675219228948,0.90625,0.90625,,,,,
156,157,1298240,10048,0.0061152109718321,0.875,0.875,,,,,
157,158,1304960,10112,0.0081984160184515,0.890625,0.890625,,,,,
158,159,1310656,10176,0.0112374566661663,0.78125,0.78125,,,,,
159,160,1317376,10240,0.0096101457856055,0.828125,0.828125,,,,,
160,161,1324096,10304,0.0089394883827806,0.859375,0.859375,0.0046381633150374,0.828125,0.828125,,
161,162,1331328,10368,0.0088618402761146,0.859375,0.859375,,,,,
162,163,1339072,10432,0.0074796454765018,0.859375,0.859375,,,,,
163,164,1344768,10496,0.0097964319716005,0.890625,0.890625,,,,,
164,165,1349440,10560,0.0122971320401191,0.875,0.875,,,,,
165,166,1362816,10624,0.0043640296364436,0.875,0.875,,,,,
166,167,1369536,10688,0.0092167569685978,0.875,0.875,,,,,
167,168,1377280,10752,0.0084976698204685,0.765625,0.765625,,,,,
168,169,1383488,10816,0.0087999853533767,0.890625,0.890625,0.0086363925696461,0.875,0.875,,
169,170,1390208,10880,0.0080397559213609,0.890625,0.890625,,,,,
170,171,1404096,10944,0.0046630621812231,0.828125,0.828125,,,,,
171,172,1410304,11008,0.009317932352299,0.859375,0.859375,,,,,
172,173,1416512,11072,0.0095765740484488,0.828125,0.828125,,,,,
